TF	D4_Neu	D4_Ast	D4_OligD	Total
pwms_0	0.033333333333333326	0.0	0.0	0.011111111111111183
pwms_1	-0.2333333333333334	0.0	0.0	-0.07777777777777778
pwms_2	-0.2333333333333334	0.0	0.0	-0.07777777777777778
pwms_3	-0.2666666666666667	0.0	0.0	-0.08888888888888885
pwms_4	0.033333333333333326	0.0	0.0	0.011111111111111183
pwms_5	0.16666666666666663	0.0	0.0	0.05555555555555558
pwms_6	-0.10000000000000009	0.0	0.0	-0.03333333333333338
pwms_7	-0.30000000000000004	0.0	0.0	-0.10000000000000003
